tempo_s,velocidade_ms,aceleracao_ms2,altitude_m,combustivel_pct
0,2,9,0,100
1,12,10,5,99.7
2,25,11,18,99.3
3,40,13,40,98.8
4,58,15,72,98.2
5,78,16,115,97.5
6,100,18,170,96.7
7,125,20,240,95.8
8,152,21,325,94.8
9,180,23,425,93.7
10,210,25,540,92.5
11,245,27,675,91.2
12,280,28,830,89.8
13,320,30,1010,88.3
14,360,31,1210,86.7
15,405,33,1435,85.0
16,450,34,1685,83.2
17,500,35,1960,81.3
18,550,36,2260,79.3
19,600,36,2585,77.2
20,650,35,2935,75.0
21,700,34,3310,72.7
22,750,33,3710,70.3
23,800,32,4135,67.8
24,850,30,4585,65.2
25,900,28,5060,62.5
26,950,27,5560,59.7
27,1000,25,6085,56.8
28,1040,23,6630,53.8
29,1080,21,7190,50.7
30,1120,20,7765,47.5
31,1160,18,8355,44.2
32,1190,16,8960,40.8
33,1220,14,9580,37.3
34,1250,12,10210,33.7
35,1280,11,10850,30.0
36,1300,9,11500,26.2
37,1320,8,12160,22.3
38,1340,6,12830,18.3
39,1355,5,13505,14.2
40,1370,4,14185,10.0
41,1380,3,14870,7.5
42,1390,2,15560,5.5
43,1395,1,16250,4.0
44,1400,1,16940,3.0
45,1402,0,17630,2.2
46,1403,0,18320,1.8
47,1405,0,19010,1.5
48,1406,0,19700,1.2
49,1407,0,20390,1.0
50,1408,0,21080,0.9
51,1407,0,21770,0.8
52,1406,0,22460,0.7
53,1405,0,23150,0.6
54,1404,0,23840,0.5
55,1403,0,24530,0.4
56,1402,0,25220,0.3
57,1401,0,25910,0.2
58,1400,0,26600,0.2
59,1398,0,27290,0.2
60,1395,0,27980,0.2
61,1392,0,28670,0.2
62,1388,0,29360,0.2
63,1385,0,30050,0.2
64,1380,0,30740,0.2
65,1375,0,31430,0.2
66,1370,0,32120,0.2
67,1365,0,32810,0.2
68,1360,0,33500,0.2
69,1355,0,34190,0.2
70,1350,0,34880,0.2
71,1345,0,35570,0.2
72,1340,0,36260,0.2
73,1335,0,36950,0.2
74,1330,0,37640,0.2
75,1325,0,38330,0.2
76,1320,0,39020,0.2
77,1315,0,39710,0.2
78,1310,0,40400,0.2
79,1305,0,41090,0.2
80,1300,0,41780,0.2
81,1295,0,42470,0.2
82,1290,0,43160,0.2
83,1285,0,43850,0.2
84,1280,0,44540,0.2
85,1275,0,45230,0.2
86,1270,0,45920,0.2
87,1265,0,46610,0.2
88,1260,0,47300,0.2
89,1255,0,47990,0.2
90,1250,0,48680,0.2
91,1245,0,49370,0.2
92,1240,0,50060,0.2
93,1235,0,50750,0.2
94,1230,0,51440,0.2
95,1225,0,52130,0.2
96,1220,0,52820,0.2
97,1215,0,53510,0.2
98,1210,0,54200,0.2
99,1205,0,54890,0.2
